timestamp_utc,model,strategy,input_id,input_text,run_id,prompt,raw_output,normalized_label,format_compliant,latency_sec,prompt_tokens,completion_tokens,total_tokens,consistency_score
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,1,I absolutely loved the movie!,1,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: I absolutely loved the movie!
Answer with just the label.",Positive,Positive,True,0.3175135000001319,69.0,2.0,71.0,1.0
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,1,I absolutely loved the movie!,2,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: I absolutely loved the movie!
Answer with just the label.",Positive,Positive,True,0.1027168000000529,69.0,2.0,71.0,1.0
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,1,I absolutely loved the movie!,3,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: I absolutely loved the movie!
Answer with just the label.",Positive,Positive,True,0.11105399999996735,69.0,2.0,71.0,1.0
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,2,The product quality is terrible.,1,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: The product quality is terrible.
Answer with just the label.",Negative,Negative,True,0.10708690000046772,69.0,2.0,71.0,1.0
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,2,The product quality is terrible.,2,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: The product quality is terrible.
Answer with just the label.",Negative,Negative,True,0.10078810000049998,69.0,2.0,71.0,1.0
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,2,The product quality is terrible.,3,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: The product quality is terrible.
Answer with just the label.",Negative,Negative,True,0.10279689999970287,69.0,2.0,71.0,1.0
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,3,"It was okay, not great but not bad.",1,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: It was okay, not great but not bad.
Answer with just the label.",Neutral,Neutral,True,0.10221360000014101,73.0,2.0,75.0,1.0
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,3,"It was okay, not great but not bad.",2,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: It was okay, not great but not bad.
Answer with just the label.",Neutral,Neutral,True,0.1113085000006322,73.0,2.0,75.0,1.0
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,3,"It was okay, not great but not bad.",3,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: It was okay, not great but not bad.
Answer with just the label.",Neutral,Neutral,True,0.11563130000013189,73.0,2.0,75.0,1.0
2026-03-03T06:13:08Z,llama-3.3-70b-versatile,Zero-Shot,4,Worst customer service ever.,1,"Classify the sentiment of the following text as one label only:
Positive, Negative, or Neutral.

Text: Worst customer service ever.
Answer with just the label.",Negative,Negative,True,0.10431090000020049,68.0,2.0,70.0,1.0
